rep,id,k1,k2,A0,peak
56,6,0.336041,0.0060171,0.109305,71.0327
57,6,0.359384,0.0059121,0.11266,70.9353
58,6,0.367372,0.00400433,0.0588542,65.9785
59,6,0.38817,0.00788688,0.109578,71.5943
60,6,0.388133,0.00524204,0.0797279,65.7847
61,6,0.401602,0.00588667,0.100437,66.9438
62,6,0.379526,0.00514228,0.0773535,70.1963
63,6,0.321952,0.00534488,0.0893697,71.3806
64,6,0.343134,0.00534488,0.0984391,69.7917
65,6,0.343134,0.00485065,0.0908614,69.7917
66,6,0.337328,0.00463864,0.104637,65.701
67,6,0.337328,0.00454293,0.0983635,69.3502
68,6,0.360949,0.00749294,0.152058,71.7981
69,6,0.3267,0.00688552,0.0808832,73.0316
70,6,0.36823,0.00688552,0.0808832,73.0316
71,6,0.367382,0.00688552,0.0935454,69.9468
72,6,0.346813,0.00492857,0.0935454,66.9542
73,6,0.355843,0.00496404,0.0761003,71.4364
74,6,0.34509,0.00782075,0.0761003,70.6294
